Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,South Amboy city,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,16
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,Data-not-available,724,0,724,242
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,South Plainfield borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,23
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,South River borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,25
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,Data-not-available,144,0,144,83
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Aberdeen township,out of area,NJ-Shore,out-of-town,Data-not-available,16,0,16,21
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Eatontown borough,out of area,NJ-Shore,out-of-town,Data-not-available,54,0,54,54
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Englishtown borough,out of area,NJ-Shore,out-of-town,Data-not-available,16,0,16,25
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Freehold borough,out of area,NJ-Shore,out-of-town,Data-not-available,50,0,50,39
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Freehold township,out of area,NJ-Shore,out-of-town,Data-not-available,136,0,136,85
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Holmdel township,out of area,NJ-Shore,out-of-town,Data-not-available,69,0,69,42
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Howell township,out of area,NJ-Shore,out-of-town,Data-not-available,15,0,15,23
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Manalapan township,out of area,NJ-Shore,out-of-town,Data-not-available,164,0,164,126
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Marlboro township,out of area,NJ-Shore,out-of-town,Data-not-available,26,0,26,33
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Matawan borough,out of area,NJ-Shore,out-of-town,Data-not-available,69,0,69,93
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Neptune township,out of area,NJ-Shore,out-of-town,Data-not-available,50,0,50,47
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Red Bank borough,out of area,NJ-Shore,out-of-town,Data-not-available,15,0,15,24
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Upper Freehold township,out of area,NJ-Shore,out-of-town,Data-not-available,17,0,17,30
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,Wall township,out of area,NJ-Shore,out-of-town,Data-not-available,26,0,26,35
2011-2015,Mercer County,East Windsor township,New Jersey,Monmouth County,West Long Branch borough,out of area,NJ-Shore,out-of-town,Data-not-available,16,0,16,29
2011-2015,Mercer County,East Windsor township,New Jersey,Morris County,Florham Park borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,28,0,28,30
2011-2015,Mercer County,East Windsor township,New Jersey,Morris County,Hanover township,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,18
2011-2015,Mercer County,East Windsor township,New Jersey,Morris County,Morristown town,out of area,NJ-NorthEast,out-of-town,Data-not-available,13,0,13,23
2011-2015,Mercer County,East Windsor township,New Jersey,Morris County,Parsippany-Troy Hills township,out of area,NJ-NorthEast,out-of-town,Data-not-available,51,0,51,43
2011-2015,Mercer County,East Windsor township,New Jersey,Ocean County,Berkeley township,out of area,NJ-Shore,out-of-town,Data-not-available,42,0,42,66
2011-2015,Mercer County,East Windsor township,New Jersey,Ocean County,Brick township,out of area,NJ-Shore,out-of-town,Data-not-available,14,0,14,22
2011-2015,Mercer County,East Windsor township,New Jersey,Ocean County,Jackson township,out of area,NJ-Shore,out-of-town,Data-not-available,20,0,20,33
2011-2015,Mercer County,East Windsor township,New Jersey,Ocean County,Lakewood township,out of area,NJ-Shore,out-of-town,Data-not-available,41,0,41,38
2011-2015,Mercer County,East Windsor township,New Jersey,Ocean County,Seaside Heights borough,out of area,NJ-Shore,out-of-town,Data-not-available,17,0,17,28
2011-2015,Mercer County,East Windsor township,New Jersey,Ocean County,Toms River township,out of area,NJ-Shore,out-of-town,Data-not-available,9,0,9,20
