Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2009-2013,Middlesex County,North Brunswick township,New Jersey,Burlington County,Wrightstown borough,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",53,0,53,59
2009-2013,Middlesex County,North Brunswick township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",146,0,146,89
2009-2013,Middlesex County,North Brunswick township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",79,0,79,93
2009-2013,Middlesex County,North Brunswick township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,Public transportation,68,0,68,74
2009-2013,Middlesex County,North Brunswick township,New Jersey,Hudson County,Hoboken city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",14,0,14,24
2009-2013,Middlesex County,North Brunswick township,New Jersey,Hudson County,Hoboken city,out of area,NJ-NorthEast,out-of-town,Public transportation,26,0,26,34
2009-2013,Middlesex County,North Brunswick township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",138,0,138,94
2009-2013,Middlesex County,North Brunswick township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",21,0,21,29
2009-2013,Middlesex County,North Brunswick township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,Public transportation,66,0,66,51
2009-2013,Middlesex County,North Brunswick township,New Jersey,Hudson County,Secaucus town,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",25,0,25,31
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Carteret borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",147,0,147,135
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,East Brunswick township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",682,0,682,195
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,East Brunswick township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",81,0,81,53
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",1287,0,1287,283
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",106,0,106,68
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,Public transportation,51,0,51,47
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Highland Park borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",56,0,56,37
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Highland Park borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",13,0,13,19
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Metuchen borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",109,0,109,66
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Metuchen borough,out of area,NJ-NorthEast,out-of-town,Public transportation,20,0,20,33
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Old Bridge township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",42,0,42,35
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Perth Amboy city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",202,0,202,127
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Perth Amboy city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",16,0,16,26
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",1024,0,1024,254
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",93,0,93,77
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,Public transportation,69,0,69,84
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,Other travel mode,2,0,2,4
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Sayreville borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",98,0,98,53
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South Plainfield borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",154,0,154,82
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South Plainfield borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",50,0,50,78
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South River borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",90,0,90,77
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",411,0,411,130
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",62,0,62,54
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,Public transportation,16,0,16,22
2009-2013,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,Other travel mode,29,0,29,46
2009-2013,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Aberdeen township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",31,0,31,32
2009-2013,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Freehold borough,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",35,0,35,25
2009-2013,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Manalapan township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",29,0,29,31
2009-2013,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Middletown township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",54,0,54,54
2009-2013,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Middletown township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Carpooled",9,0,9,15
2009-2013,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Neptune township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",56,0,56,64
2009-2013,Middlesex County,North Brunswick township,New Jersey,Morris County,Florham Park borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",71,0,71,63
2009-2013,Middlesex County,North Brunswick township,New Jersey,Morris County,Florham Park borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",43,0,43,70
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Bernards township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",53,0,53,40
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Bernards township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",15,0,15,25
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Branchburg township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",24,0,24,23
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Branchburg township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",13,0,13,21
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Branchburg township,out of area,NJ-NorthEast,out-of-town,Public transportation,13,0,13,19
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",301,0,301,114
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",27,0,27,28
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Raritan borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",103,0,103,59
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Somerville borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",140,0,140,92
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Somerville borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",18,0,18,19
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Warren township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",187,0,187,79
2009-2013,Middlesex County,North Brunswick township,New Jersey,Somerset County,Watchung borough,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",55,0,55,53
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Clark township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",21,0,21,25
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Clark township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",8,0,8,13
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Cranford township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",28,0,28,30
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Elizabeth city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",155,0,155,88
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Elizabeth city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",9,0,9,13
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Linden city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",32,0,32,32
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Linden city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",11,0,11,19
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Rahway city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",63,0,63,42
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Union township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",91,0,91,71
2009-2013,Middlesex County,North Brunswick township,New Jersey,Union County,Union township,out of area,NJ-NorthEast,out-of-town,Public transportation,7,0,7,10
2011-2015,Middlesex County,North Brunswick township,New Jersey,Atlantic County,Hammonton town,out of area,NJ-Shore,out-of-town,Data-not-available,22,0,22,35
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Carlstadt borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,6,0,6,9
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Closter borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,26
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Elmwood Park borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,23,0,23,30
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Englewood city,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,26
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Fairview borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,30,0,30,47
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Franklin Lakes borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,13,0,13,20
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Hackensack city,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,16
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Lyndhurst township,out of area,NJ-NorthEast,out-of-town,Data-not-available,31,0,31,29
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Norwood borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,6,0,6,9
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Oradell borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,25
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Ridgefield borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,9,0,9,14
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Rutherford borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,23
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,South Hackensack township,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,25
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Teterboro borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,8,0,8,13
2011-2015,Middlesex County,North Brunswick township,New Jersey,Bergen County,Westwood borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,15
2011-2015,Middlesex County,North Brunswick township,New Jersey,Burlington County,Burlington city,out of area,NJ-Southwest,out-of-town,Data-not-available,3,0,3,7
2011-2015,Middlesex County,North Brunswick township,New Jersey,Burlington County,Mount Laurel township,out of area,NJ-Southwest,out-of-town,Data-not-available,24,0,24,36
2011-2015,Middlesex County,North Brunswick township,New Jersey,Burlington County,New Hanover township,out of area,NJ-Southwest,out-of-town,Data-not-available,19,0,19,30
2011-2015,Middlesex County,North Brunswick township,New Jersey,Burlington County,Pemberton township,out of area,NJ-Southwest,out-of-town,Data-not-available,7,0,7,12
2011-2015,Middlesex County,North Brunswick township,New Jersey,Burlington County,Wrightstown borough,out of area,NJ-Southwest,out-of-town,Data-not-available,6,0,6,15
2011-2015,Middlesex County,North Brunswick township,New Jersey,Camden County,Pennsauken township,out of area,NJ-Southwest,out-of-town,Data-not-available,18,0,18,28
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,Belleville township,out of area,NJ-NorthEast,out-of-town,Data-not-available,6,0,6,9
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,Livingston township,out of area,NJ-NorthEast,out-of-town,Data-not-available,20,0,20,32
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,Millburn township,out of area,NJ-NorthEast,out-of-town,Data-not-available,7,0,7,10
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,Montclair township,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,27
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,Data-not-available,472,0,472,154
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,Roseland borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,13,0,13,21
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,South Orange Village township,out of area,NJ-NorthEast,out-of-town,Data-not-available,27,0,27,43
2011-2015,Middlesex County,North Brunswick township,New Jersey,Essex County,West Orange township,out of area,NJ-NorthEast,out-of-town,Data-not-available,30,0,30,45
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,Bayonne city,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,16
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,Harrison town,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,27
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,Hoboken city,out of area,NJ-NorthEast,out-of-town,Data-not-available,25,0,25,26
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,Data-not-available,195,0,195,91
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,Kearny town,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,27
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,North Bergen township,out of area,NJ-NorthEast,out-of-town,Data-not-available,3,0,3,8
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hudson County,Secaucus town,out of area,NJ-NorthEast,out-of-town,Data-not-available,40,0,40,34
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hunterdon County,Clinton township,out of area,NJ-Northwest,out-of-town,Data-not-available,7,0,7,11
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hunterdon County,Readington township,out of area,NJ-Northwest,out-of-town,Data-not-available,9,0,9,14
2011-2015,Middlesex County,North Brunswick township,New Jersey,Hunterdon County,Stockton borough,out of area,NJ-Northwest,out-of-town,Data-not-available,22,0,22,35
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,Data-not-available,23,0,23,27
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Ewing township,in area,US1-Northwest,out-of-town,Data-not-available,162,0,162,137
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,Data-not-available,107,0,107,76
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Hightstown borough,in area,US1-Southwest,out-of-town,Data-not-available,25,0,25,25
2009-2013,Mercer County,Princeton,New Jersey,Mercer County,Princeton,in area,in-town,in-town,"Car, truck, or van: Drove alone",2263,2263,0,345
2009-2013,Mercer County,Princeton,New Jersey,Mercer County,Princeton,in area,in-town,in-town,"Car, truck, or van: Carpooled",247,247,0,114
2009-2013,Mercer County,Princeton,New Jersey,Mercer County,Princeton,in area,in-town,in-town,Public transportation,408,408,0,128
2009-2013,Mercer County,Princeton,New Jersey,Mercer County,Princeton,in area,in-town,in-town,Other travel mode,4635,4635,0,465
2011-2015,Mercer County,Princeton,New Jersey,Mercer County,Princeton,in area,in-town,in-town,Data-not-available,7273,7273,0,475
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,Data-not-available,18,0,18,25
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Data-not-available,112,0,112,79
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,Data-not-available,48,0,48,51
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Data-not-available,164,0,164,101
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,Data-not-available,44,0,44,34
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,Trenton city,in area,US1-Northwest,out-of-town,Data-not-available,121,0,121,66
2011-2015,Middlesex County,North Brunswick township,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Data-not-available,150,0,150,78
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Carteret borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,138,0,138,119
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Cranbury township,in area,US1-Southwest,out-of-town,Data-not-available,185,0,185,112
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Dunellen borough,in area,US1-Southwest,out-of-town,Data-not-available,15,0,15,23
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,East Brunswick township,out of area,NJ-NorthEast,out-of-town,Data-not-available,712,0,712,192
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,Data-not-available,1364,0,1364,275
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Highland Park borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,52,0,52,41
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Jamesburg borough,in area,US1-Southeast,out-of-town,Data-not-available,158,0,158,131
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Metuchen borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,133,0,133,85
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Middlesex borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,28,0,28,47
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Milltown borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,52,0,52,53
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,Data-not-available,390,0,390,193
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,Data-not-available,2536,0,2536,412
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Old Bridge township,out of area,NJ-NorthEast,out-of-town,Data-not-available,79,0,79,61
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Perth Amboy city,out of area,NJ-NorthEast,out-of-town,Data-not-available,164,0,164,89
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,Data-not-available,973,0,973,251
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,Data-not-available,427,0,427,173
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Sayreville borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,97,0,97,69
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South Amboy city,out of area,NJ-NorthEast,out-of-town,Data-not-available,97,0,97,96
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,Data-not-available,808,0,808,177
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South Plainfield borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,222,0,222,114
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,South River borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,101,0,101,76
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Spotswood borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,31,0,31,35
2011-2015,Middlesex County,North Brunswick township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,Data-not-available,578,0,578,184
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Aberdeen township,out of area,NJ-Shore,out-of-town,Data-not-available,18,0,18,27
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Asbury Park city,out of area,NJ-Shore,out-of-town,Data-not-available,34,0,34,38
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Eatontown borough,out of area,NJ-Shore,out-of-town,Data-not-available,38,0,38,60
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Freehold borough,out of area,NJ-Shore,out-of-town,Data-not-available,23,0,23,25
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Freehold township,out of area,NJ-Shore,out-of-town,Data-not-available,52,0,52,45
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Hazlet township,out of area,NJ-Shore,out-of-town,Data-not-available,5,0,5,8
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Holmdel township,out of area,NJ-Shore,out-of-town,Data-not-available,6,0,6,10
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Manalapan township,out of area,NJ-Shore,out-of-town,Data-not-available,33,0,33,31
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Marlboro township,out of area,NJ-Shore,out-of-town,Data-not-available,15,0,15,28
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Middletown township,out of area,NJ-Shore,out-of-town,Data-not-available,58,0,58,49
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Neptune township,out of area,NJ-Shore,out-of-town,Data-not-available,54,0,54,46
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Ocean township,out of area,NJ-Shore,out-of-town,Data-not-available,18,0,18,19
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Red Bank borough,out of area,NJ-Shore,out-of-town,Data-not-available,31,0,31,33
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Shrewsbury borough,out of area,NJ-Shore,out-of-town,Data-not-available,5,0,5,13
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Shrewsbury township,out of area,NJ-Shore,out-of-town,Data-not-available,19,0,19,29
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Tinton Falls borough,out of area,NJ-Shore,out-of-town,Data-not-available,14,0,14,19
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Union Beach borough,out of area,NJ-Shore,out-of-town,Data-not-available,6,0,6,9
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,Wall township,out of area,NJ-Shore,out-of-town,Data-not-available,29,0,29,31
2011-2015,Middlesex County,North Brunswick township,New Jersey,Monmouth County,West Long Branch borough,out of area,NJ-Shore,out-of-town,Data-not-available,13,0,13,21
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Butler borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,18
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Chatham borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,8,0,8,13
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Florham Park borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,119,0,119,86
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Hanover township,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,15
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Montville township,out of area,NJ-NorthEast,out-of-town,Data-not-available,14,0,14,22
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Morris township,out of area,NJ-NorthEast,out-of-town,Data-not-available,52,0,52,49
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Morristown town,out of area,NJ-NorthEast,out-of-town,Data-not-available,36,0,36,34
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Mount Olive township,out of area,NJ-NorthEast,out-of-town,Data-not-available,8,0,8,12
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Parsippany-Troy Hills township,out of area,NJ-NorthEast,out-of-town,Data-not-available,55,0,55,42
2011-2015,Middlesex County,North Brunswick township,New Jersey,Morris County,Rockaway township,out of area,NJ-NorthEast,out-of-town,Data-not-available,8,0,8,14
2011-2015,Middlesex County,North Brunswick township,New Jersey,Ocean County,Brick township,out of area,NJ-Shore,out-of-town,Data-not-available,10,0,10,16
2011-2015,Middlesex County,North Brunswick township,New Jersey,Ocean County,Lakewood township,out of area,NJ-Shore,out-of-town,Data-not-available,9,0,9,15
2011-2015,Middlesex County,North Brunswick township,New Jersey,Ocean County,Point Pleasant Beach borough,out of area,NJ-Shore,out-of-town,Data-not-available,13,0,13,20
2011-2015,Middlesex County,North Brunswick township,New Jersey,Passaic County,Passaic city,out of area,NJ-NorthEast,out-of-town,Data-not-available,20,0,20,31
2011-2015,Middlesex County,North Brunswick township,New Jersey,Passaic County,Paterson city,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,18
2011-2015,Middlesex County,North Brunswick township,New Jersey,Passaic County,Wayne township,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,27
2011-2015,Middlesex County,North Brunswick township,New Jersey,Somerset County,Bedminster township,out of area,NJ-NorthEast,out-of-town,Data-not-available,48,0,48,44
